id,key,self,resolutiondate,created,resolutiontime,timespent,titlelength,commentlength,percent_tone,percent_relevance
'13134777', 'AMQ-6894', 'https://issues.apache.org/jira/rest/api/2/issue/13134777',2018-04-17T00:29:45.000+0000, '2018-01-30T14:53:45.000+0000',76.4,1800,106.50901777265,3045,0.0380952380952381,0.985832018694686
'13068066', 'CARBONDATA-1007', 'https://issues.apache.org/jira/rest/api/2/issue/13068066',2017-05-01T07:54:54.000+0000, '2017-05-01T03:06:54.000+0000',0.2,2400,45.3444035074326,133,0.0,1.72016817879663
'12703738', 'ANY23-183', 'https://issues.apache.org/jira/rest/api/2/issue/12703738',2014-08-07T13:53:17.000+0000, '2014-03-26T15:29:17.000+0000',133.93333333333334,2400,62.8521174758342,70,0.0,0.731876694809628
'12972094', 'AVRO-1851', 'https://issues.apache.org/jira/rest/api/2/issue/12972094',2016-10-09T22:13:54.000+0000, '2016-05-23T15:49:54.000+0000',139.26666666666668,7800,84.2811970575614,4512,0.0,1.73229623091716
'13343079', 'CRYPTO-152', 'https://issues.apache.org/jira/rest/api/2/issue/13343079',2020-12-01T05:11:34.000+0000, '2020-11-28T06:47:34.000+0000',2.933333333333333,4800,38.2204120977427,44,0.0,0.968069101541301
'13095584', 'BIGTOP-2872', 'https://issues.apache.org/jira/rest/api/2/issue/13095584',2017-08-18T18:14:33.000+0000, '2017-08-18T08:38:33.000+0000',0.4,1200,79.9639244573866,375,0.0,0.912911672299204
'13059836', 'CALCITE-1726', 'https://issues.apache.org/jira/rest/api/2/issue/13059836',2017-05-13T12:35:20.000+0000, '2017-03-28T20:35:20.000+0000',45.666666666666664,1200,58.1172308402877,870,0.0,1.17004886531623
'13207692', 'ARIES-1880', 'https://issues.apache.org/jira/rest/api/2/issue/13207692',2019-01-04T14:05:31.000+0000, '2019-01-04T14:05:31.000+0000',0.0,1200,44.398802470948,213,0.0,0.765786420078506
'13220881', 'ATLAS-3069', 'https://issues.apache.org/jira/rest/api/2/issue/13220881',2019-03-11T19:59:13.000+0000, '2019-03-11T16:47:13.000+0000',0.13333333333333333,3600,58.7330363333393,2940,0.0,1.49830496588932
'13114821', 'DAFFODIL-1402', 'https://issues.apache.org/jira/rest/api/2/issue/13114821',2015-08-17T19:56:08.000+0000, '2015-07-24T13:32:08.000+0000',24.266666666666666,60,76.2406970862929,5789,0.0,0.944377514262585
'13090681', 'BIGTOP-2860', 'https://issues.apache.org/jira/rest/api/2/issue/13090681',2017-07-28T21:09:21.000+0000, '2017-07-28T03:33:21.000+0000',0.7333333333333333,1200,29.5791714245476,69,0.0,1.69037865470786
'13090681', 'BIGTOP-2860', 'https://issues.apache.org/jira/rest/api/2/issue/13090681',2017-07-28T21:09:21.000+0000, '2017-07-28T03:33:21.000+0000',0.7333333333333333,1200,29.5791714245476,69,0.0,1.69037865470786
'13048802', 'GRIFFIN-1', 'https://issues.apache.org/jira/rest/api/2/issue/13048802',2017-03-13T10:47:06.000+0000, '2017-03-07T09:11:06.000+0000',6.066666666666666,151200,54.3232325146257,458,0.0,2.59557455388977
'13384697', 'CLEREZZA-1068', 'https://issues.apache.org/jira/rest/api/2/issue/13384697',2021-06-21T20:54:10.000+0000, '2021-06-20T08:06:10.000+0000',1.5333333333333334,3600,49.5000333262523,72,0.0,0.76767625083288
'13114562', 'DAFFODIL-1143', 'https://issues.apache.org/jira/rest/api/2/issue/13114562',2015-01-19T22:06:33.000+0000, '2014-11-12T20:30:33.000+0000',68.06666666666666,17520,50.8655927705866,359,0.0,1.4941337721704
'13241066', 'AMQNET-588', 'https://issues.apache.org/jira/rest/api/2/issue/13241066',2019-06-22T21:47:57.000+0000, '2019-06-22T20:11:57.000+0000',0.06666666666666667,11400,29.3432090683971,174,0.0,2.59003709590349
'13147614', 'CB-13999', 'https://issues.apache.org/jira/rest/api/2/issue/13147614',2018-04-17T05:03:17.000+0000, '2018-03-23T22:39:17.000+0000',24.266666666666666,600,77.395859163358,140,0.0,0.76231468502042
'12953893', 'CALCITE-1172', 'https://issues.apache.org/jira/rest/api/2/issue/12953893',2016-06-09T14:59:45.000+0000, '2016-03-28T03:47:45.000+0000',73.46666666666667,13800,76.5757401126727,889,0.0,2.33755494542555
'13288973', 'CODEC-286', 'https://issues.apache.org/jira/rest/api/2/issue/13288973',2020-04-19T12:02:24.000+0000, '2020-03-02T18:26:24.000+0000',47.733333333333334,600,44.9344324881342,187,0.0,3.22692403065934
'13078885', 'COMPRESS-404', 'https://issues.apache.org/jira/rest/api/2/issue/13078885',2017-08-22T15:11:22.000+0000, '2017-06-10T18:23:22.000+0000',72.86666666666666,16800,56.7037133783617,509,0.0,4.16198492019851
'13114690', 'DAFFODIL-1271', 'https://issues.apache.org/jira/rest/api/2/issue/13114690',2015-07-30T05:07:42.000+0000, '2015-03-11T19:31:42.000+0000',140.4,960,88.5670684334862,134,0.0,1.14037871848328
'13275838', 'GOBBLIN-1011', 'https://issues.apache.org/jira/rest/api/2/issue/13275838',2019-12-21T06:15:48.000+0000, '2019-12-21T01:27:48.000+0000',0.2,12600,46.1841146834962,273,0.0,3.74587671942148
'13257187', 'CELIX-468', 'https://issues.apache.org/jira/rest/api/2/issue/13257187',2019-09-17T22:51:22.000+0000, '2019-09-17T18:03:22.000+0000',0.2,3000,41.9855588031783,495,0.0,2.81049016289542
'13084171', 'CAMEL-11497', 'https://issues.apache.org/jira/rest/api/2/issue/13084171',2017-08-22T11:31:37.000+0000, '2017-07-03T08:19:37.000+0000',50.13333333333333,1200,60.3615251958901,78,0.0,0.546705867568882
'13359808', 'BROOKLYN-629', 'https://issues.apache.org/jira/rest/api/2/issue/13359808',2021-02-21T13:59:19.000+0000, '2021-02-20T17:11:19.000+0000',0.8666666666666667,3600,36.399042885538,299,0.0,2.11544023951777
'13211829', 'BROOKLYN-608', 'https://issues.apache.org/jira/rest/api/2/issue/13211829',2019-01-25T13:02:11.000+0000, '2019-01-25T13:02:11.000+0000',0.0,1200,71.2056266043505,989,0.0,1.0251998821051
'13327492', 'ARROW-10002', 'https://issues.apache.org/jira/rest/api/2/issue/13327492',2020-09-16T23:37:53.000+0000, '2020-09-14T17:13:53.000+0000',2.2666666666666666,19800,39.6203359603403,1225,0.0,1.64057165151413
'13256389', 'CONFIGURATION-760', 'https://issues.apache.org/jira/rest/api/2/issue/13256389',2019-09-12T16:03:15.000+0000, '2019-09-12T16:03:15.000+0000',0.0,1200,92.1484579585713,99817,0.0,0.596862945061189
'13099270', 'ARCHETYPE-531', 'https://issues.apache.org/jira/rest/api/2/issue/13099270',2017-11-16T02:23:09.000+0000, '2017-09-01T16:47:09.000+0000',75.4,600,110.718651104993,6171,0.0106951871657754,0.686424547639496
'13183429', 'DISPATCH-1115', 'https://issues.apache.org/jira/rest/api/2/issue/13183429',2018-09-13T15:36:55.000+0000, '2018-09-06T15:36:55.000+0000',7.0,1200,90.7838953494487,150,0.0,0.66091017320909
'13213038', 'COMPRESS-479', 'https://issues.apache.org/jira/rest/api/2/issue/13213038',2019-02-13T15:14:51.000+0000, '2019-01-31T10:26:51.000+0000',13.2,2400,68.0213505262964,1527,0.0,1.44072411443984
'13120255', 'CLEREZZA-1023', 'https://issues.apache.org/jira/rest/api/2/issue/13120255',2018-03-05T05:52:01.000+0000, '2017-11-22T15:28:01.000+0000',102.6,1200,28.5475107690705,124,0.0,1.2960849826559
'13121876', 'ARCHETYPE-536', 'https://issues.apache.org/jira/rest/api/2/issue/13121876',2017-12-30T02:26:14.000+0000, '2017-11-30T10:26:14.000+0000',29.666666666666668,600,147.797047345994,522,0.0,0.703667643349701
'13211330', 'BROOKLYN-607', 'https://issues.apache.org/jira/rest/api/2/issue/13211330',2019-01-24T02:40:25.000+0000, '2019-01-23T17:04:25.000+0000',0.4,1800,47.978354674432,1849,0.0,1.45899125709918
'13226670', 'COMPRESS-481', 'https://issues.apache.org/jira/rest/api/2/issue/13226670',2019-04-08T23:47:42.000+0000, '2019-04-08T10:59:42.000+0000',0.5333333333333333,8400,48.0554190929491,321,0.0,1.20693984351309
'13255894', 'CONFIGURATION-756', 'https://issues.apache.org/jira/rest/api/2/issue/13255894',2019-09-10T16:49:57.000+0000, '2019-09-10T13:37:57.000+0000',0.13333333333333333,600,66.2844267190543,2172,0.0,2.67031049012783
'13244762', 'CODEC-259', 'https://issues.apache.org/jira/rest/api/2/issue/13244762',2019-07-23T08:34:10.000+0000, '2019-07-13T16:34:10.000+0000',9.666666666666666,1200,78.0394106532509,1110,0.0,4.11330630655689
'13210628', 'EMPIREDB-285', 'https://issues.apache.org/jira/rest/api/2/issue/13210628',2019-02-21T01:55:41.000+0000, '2019-01-20T19:31:41.000+0000',31.266666666666666,600,44.6060722468041,682,0.0,1.72622237559858
